Название команды;Название хакатона;Результат;Призовой;Дата награждения;Год;Ссылка;;;;;;;;;
CSharkMISIS;Альфа-будущее;1 место;250000;12.12.2025;2025;;;;;;;;;;
Нуридинов Михаил;Cookie Hackathon;1 место;30000;09.12.2025;2025;;;;;;;;;;
MISIS GO;Тула хак;1 место;170000;07.12.2025;2025;https://t.me/itatmisis/1556;;;;;;;;;
MISIS варкес бебрис;Тула хак;2 место;110000;07.12.2025;2025;https://t.me/itatmisis/1556;;;;;;;;;
MISIS Club;HSE Vibel'lack;3 место;0;06.12.2025;2025;;;;;;;;;;
Вадим Коротаев;Олимпиада по программировании...;1 место;300000;29.11.2025;2025;;;;;;;;;;
MISIS x MISIS x MISIS;Wink Al Challenge 2025;2 место;120000;29.11.2025;2025;;;;;;;;;;
misis_robo_fabily;PTK Высшая лига;1 место;0;28.11.2025;2025;https://t.me/itatmisis/1545;;;;;;;;;
larek.tech;T1: Москва 2025;3 место;100000;25.11.2025;2025;https://t.me/itatmisis/1529;;;;;;;;;
YSL MISIS;T1: Москва 2025;2 место;200000;25.11.2025;2025;https://t.me/itatmisis/1529;;;;;;;;;
MISIS MOJARUNG;T1: Москва 2025;1 место;300000;25.11.2025;2025;https://t.me/itatmisis/1529;;;;;;;;;
2+16;Театр. АI. Человек;3 место;0;18.11.2025;2025;https://t.me/itatmisis/1541;;;;;;;;;
3+5;Театр. АI. Человек;2 место;0;18.11.2025;2025;https://t.me/itatmisis/1541;;;;;;;;;
MISIS_Team;Московский чемпионат по СП;2 место;0;16.11.2025;2025;https://t.me/itatmisis/1538;;;;;;;;;
Sechenov x MISIS;MediTron;1 место;0;15.11.2025;2025;https://t.me/itatmisis/1519;;;;;;;;;
Никита Коршунов;AI Challenge 2025;1 место;700000;10.11.2025;2025;https://t.me/itatmisis/1526;;;;;;;;;
MISIS x альфа бета гамма штрих;AI Challenge 2025;1 место;1500000;10.11.2025;2025;https://t.me/itatmisis/1526;;;;;;;;;
БЕЗУМЦЫ;ЛЦТ 2025;2 место;600000;20.10.2025;2025;https://t.me/itatmisis/1471;;;;;;;;;
MISIS x OptonGroup;ЛЦТ 2025;2 место;600000;20.10.2025;2025;https://t.me/itatmisis/1471;;;;;;;;;
МИСИС Два миллиона;ЛЦТ 2025;1 место;1000000;20.10.2025;2025;https://t.me/itatmisis/1471;;;;;;;;;
MISIS_MSc;ЛЦТ 2025;1 место;1000000;20.10.2025;2025;https://t.me/itatmisis/1471;;;;;;;;;
FEMME;ЛЦТ 2025;3 место;400000;20.10.2025;2025;https://t.me/itatmisis/1471;;;;;;;;;
APPLExMISISxMIREAxXЯOMI;Импульс T1: Минск 2025;3 место;50000;14.10.2025;2025;;;;;;;;;;
CHILL FLEX MISIS;Дизайн Цех осень 2025;1 место;100000;11.10.2025;2025;https://t.me/itatmisis/1445;;;;;;;;;
MISIS x MISIS;2ХАКАТОН;2 место;300000;04.10.2025;2025;https://t.me/itatmisis/1456;;;;;;;;;
IT-AUL (MISIS x CU x KFU);Татар Бу Хакатон;1 место;200000;12.09.2025;2025;https://t.me/itatmisis/1396;;;;;;;;;
MISIS x MISIS;VTB MoreTech 2025;1 место;250000;27.08.2025;2025;https://t.me/itatmisis/1434;;;;;;;;;
MISIS GO;VTB MoreTech 2025;2 место;150000;27.08.2025;2025;https://t.me/itatmisis/1434;;;;;;;;;
MISIS Hot_Drones ;Архипелаг;1 место;0;13.08.2025;2025;https://t.me/itatmisis/1333;;;;;;;;;
MISIS Flight Mode;Архипелаг;2 место;0;11.08.2025;2025;https://t.me/itatmisis/1333;;;;;;;;;
MISIS Hot_Drones ;Архипелаг;2 место;0;08.08.2025;2025;https://t.me/itatmisis/1333;;;;;;;;;
MISIS x HSE Microgit;Марафон Цифровых Решений;1 место;500000;27.06.2025;2025;;;;;;;;;;
MISIS IWCD;Внедрейд;1 место;0;07.06.2025;2025;https://t.me/itatmisis/1325;;;;;;;;;
MISIS Neychev Loss;Avito ML Cup;3 место;150000;28.05.2025;2025;;;;;;;;;;
misis_robo_family;Кубок PTK;1 место;0;25.05.2025;2025;https://t.me/itatmisis/1258;;;;;;;;;
Misis x OptonGroup;Марафон Цифровых Решений;1 место;300000;30.04.2025;2025;https://t.me/itatmisis/1294;;;;;;;;;
Abobus;Марафон Цифровых Решений;2 место;200000;30.04.2025;2025;https://t.me/itatmisis/1294;;;;;;;;;
MISIS_TECH;IT_ONE Cup. MI. Challenge;1 место;250000;29.04.2025;2025;https://t.me/itatmisis/1282;;;;;;;;;
MISIS Leaf Lovers;Привет Спутник;1 место;0;28.04.2025;2025;;;;;;;;;;
MISIS_AKIES;Кубок PTK;2 место;0;27.04.2025;2025;https://t.me/itatmisis/1258;;;;;;;;;
misis_robo_club;Кубок PTK;3 место;0;27.04.2025;2025;https://t.me/itatmisis/1258;;;;;;;;;
just_misis;Кубок PTK;2 место;0;20.04.2025;2025;https://t.me/itatmisis/1258;;;;;;;;;
MISIS & HSE;LLM Coding Challenge;1 место;0;19.04.2025;2025;https://t.me/itatmisis/1267;;;;;;;;;
мисисково;Нефтеход;2 место;150000;18.04.2025;2025;https://t.me/itatmisis/1249;;;;;;;;;
